code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
HBA1C,Hémoglobine glyquée (HbA1c),Suivi du diabète (3 derniers mois),Chimie,Sang veineux,EDTA (violet),violet,3 mL,Non,Pas de conditions particulières (pas de jeûne),T° ambiante 7 jours / réfrigéré 14 jours,24h,HPLC / Immunoturbidimétrie,< 6.0% (non diabétique) · Cible < 7.0% (diabétique),Reflet de l'équilibre glycémique des 2-3 derniers mois.,Faussée par les hémoglobinopathies (drépanocytose / thalassémie).,tube-violet.jpg
IONO,Ionogramme (Na / K / Cl),Analyse des sels minéraux,Chimie,Sang veineux,Héparine lithium (vert),vert,5 mL,Non,Pas de garrot prolongé (fausse K+),T° ambiante 4h / réfrigéré 24h. NE PAS congeler.,1h (urgent) / 4h (routine),Potentiométrie (ISE),Na: 136-145 · K: 3.5-5.1 · Cl: 98-107 mmol/L,Équilibre hydro-électrolytique / fonction rénale / diurétiques.,K+ élevé si hémolyse ou garrot prolongé.,tube-vert.jpg
CA,Calcium total,Analyse du calcium,Chimie,Sang veineux,Sec (rouge) — PAS d'EDTA,rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,4h,Colorimétrique (Arsenazo III),85 – 105 mg/L,Bilan phosphocalcique. Hyper/hypocalcémie.,JAMAIS sur tube EDTA (chélateur du Ca).,tube-rouge.jpg
AU,Acide urique,Analyse de l'acide urique (goutte),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui (préférable),À jeun de préférence,T° ambiante 24h / réfrigéré 7 jours,4h,Uricase / Enzymatique,H: 35-70 mg/L · F: 25-60 mg/L,Goutte / lithiases / syndrome métabolique.,Augmenté par les purines / l'alcool / la déshydratation.,tube-rouge.jpg
NFS,Numération Formule Sanguine (NFS),Analyse de sang complète (NFS),Hématologie,Sang veineux,EDTA (violet),violet,3 mL,Non,Pas de conditions particulières,T° ambiante / analyser dans les 6h.,1h (urgent) / 4h (routine),Cytométrie en flux / Impédance,Hb H: 13-17 g/dL · F: 12-16 g/dL · GB: 4000-10000/mm³,Anémie / infections / hémopathies / surveillance chimio.,Examen de base. Frottis sanguin si anomalies.,tube-violet.jpg
VS,Vitesse de sédimentation (VS),Analyse de l'inflammation (VS),Hématologie,Sang veineux,Citrate de sodium (noir),bleu,2-3 mL,Non,Pas de conditions particulières,T° ambiante / analyser dans les 2h.,2h,Westergren,H: < 15 mm/1h · F: < 20 mm/1h,Marqueur non spécifique d'inflammation.,Moins réactif que la CRP. Accéléré par anémie / grossesse.,tube-bleu.jpg
TP-INR,TP / INR (Taux de Prothrombine),Analyse de la coagulation (TP),Hématologie,Sang veineux,Citrate de sodium (bleu),bleu,2.7 mL,Non,Remplir impérativement jusqu'au trait. Mélanger par retournements.,T° ambiante / analyser dans les 4h.,1h (urgent) / 4h (routine),Chronométrique (Quick),TP: 70-100% · INR: 0.8-1.2,Surveillance AVK. Bilan pré-opératoire.,Tube sous-rempli = résultat FAUX. INR cible AVK : 2.0-3.0.,tube-bleu.jpg
TCA,TCA (Temps de Céphaline Activée),Analyse de la coagulation (TCA),Hématologie,Sang veineux,Citrate de sodium (bleu),bleu,2.7 mL,Non,Remplissage exact du tube. Mélanger par retournements.,T° ambiante / analyser dans les 4h.,1h (urgent) / 4h (routine),Chronométrique,Ratio patient/témoin < 1.2,Exploration coagulation. Surveillance héparine.,Allongé par l'héparine / déficits en facteurs.,tube-bleu.jpg
GS-RH,Groupage sanguin ABO-Rhésus,Groupe sanguin,Hématologie,Sang veineux,EDTA (violet),violet,5 mL (2 déterminations),Non,Identité rigoureuse. 2 prélèvements distincts obligatoires.,T° ambiante 24h / réfrigéré 7 jours,24-48h,Agglutination / Gel filtration,—,Bilan prétransfusionnel / grossesse / pré-opératoire.,2 prélèvements DIFFÉRENTS obligatoires.,tube-violet.jpg
HIV,Sérologie HIV (VIH 1+2),Test du VIH / SIDA,Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Consentement du patient.,T° ambiante 24h / réfrigéré 7 jours,24h,ELISA combo Ag/Ac (4ème génération),Négatif,Dépistage et diagnostic de l'infection VIH.,Fenêtre ~6 semaines. Positif à confirmer (Western Blot).,tube-rouge.jpg
HBS,Ag HBs (Hépatite B),Test de l'hépatite B,Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24h,ELISA / Chimiluminescence,Négatif,Infection active par le virus de l'hépatite B.,Positif > 6 mois = hépatite B chronique.,tube-rouge.jpg
HCV,Sérologie Hépatite C,Test de l'hépatite C,Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24h,ELISA / Chimiluminescence,Négatif,Dépistage de l'hépatite C.,Si positif : confirmer par PCR.,tube-rouge.jpg
VDRL,VDRL / RPR (Syphilis),Test de la syphilis,Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24-48h,Floculation / Agglutination,Négatif,Dépistage de la syphilis.,Faux positifs possibles. Confirmer par TPHA.,tube-rouge.jpg
WIDAL,Sérodiagnostic de Widal,Test de la fièvre typhoïde,Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24-48h,Agglutination en tube,O < 1/100 · H < 1/200,Diagnostic de la fièvre typhoïde.,2 prélèvements à 15j d'intervalle recommandés.,tube-rouge.jpg
ASLO,ASLO (Antistreptolysines O),Test du rhumatisme (ASLO),Immunologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24h,Immunoturbidimétrie / Latex,< 200 UI/mL,Infection streptococcique / RAA.,Faire 2 dosages à 15j d'intervalle.,tube-rouge.jpg
TSH,TSH (Thyréostimuline),Analyse de la thyroïde (TSH),Hormonologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Prélèvement le matin de préférence.,T° ambiante 24h / réfrigéré 7 jours,24h,Chimiluminescence / ELISA,0.27 – 4.20 mUI/L,Dépistage des problèmes de thyroïde.,Si anormale compléter par T4L.,tube-rouge.jpg
T4L,T4 libre (Thyroxine libre),Hormone thyroïdienne (T4),Hormonologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,24h,Chimiluminescence,12.0 – 22.0 pmol/L,Confirmation hypo/hyperthyroïdie.,Doser T4L (pas T4 totale).,tube-rouge.jpg
PSA,PSA total,Test de la prostate (PSA),Hormonologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Avant tout toucher rectal. Pas d'éjaculation 48h avant.,T° ambiante 6h / réfrigéré 24h,24h,Chimiluminescence / ELISA,< 4.0 ng/mL,Dépistage cancer prostate / HBP.,Élevé après TR / biopsie / éjaculation.,tube-rouge.jpg
BHCG,β-HCG,Test de grossesse (prise de sang),Hormonologie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,2h (urgent) / 24h (routine),Chimiluminescence / ELISA,< 5 mUI/mL (non enceinte),Diagnostic de grossesse / suivi GEU.,Positif dès 10 jours post-conception.,tube-rouge.jpg
ECBU,ECBU (Cytobactériologique Urines),Analyse d'urine (recherche d'infection),Microbiologie,Urines (milieu de jet),Pot stérile,jaune,20-30 mL,Non,Urines du matin. Toilette locale avant. Milieu de jet.,T° ambiante max 2h. Réfrigéré max 24h.,48-72h (culture),Examen direct + Culture + Antibiogramme,< 10³ UFC/mL,Diagnostic d'infection urinaire.,Seuil ≥10⁵ UFC/mL classique.,pot-urines.jpg
HEMO,Hémocultures,Recherche de microbes dans le sang,Microbiologie,Sang veineux,Flacons hémoculture,orange,8-10 mL par flacon,Non,Désinfection rigoureuse. AVANT antibiothérapie si possible.,NE PAS réfrigérer. Acheminer immédiatement.,24-48h (préliminaire),Culture automatisée + antibiogramme,Stérile,Septicémie / endocardite / fièvre inexpliquée.,Au moins 2 paires sur 2 sites. NE JAMAIS réfrigérer.,flacon-hemoculture.jpg
COPROC,Coproculture,Analyse des selles (recherche d'infection),Microbiologie,Selles,Pot stérile à selles,orange,Noix de selle,Non,Selles fraîches / sans urine. Avant antibiotiques si possible.,T° ambiante max 2h / réfrigéré 24h.,48-72h (culture),Culture sélective + antibiogramme,Absence de pathogènes,Diarrhées infectieuses (Salmonella / Shigella / Campylobacter).,Préciser si recherche spécifique souhaitée.,pot-selles.jpg
PV,Prélèvement vaginal,Prélèvement vaginal (recherche d'infection),Microbiologie,Écouvillon vaginal,Écouvillon + milieu transport,orange,—,Non,Pas de toilette vaginale ni rapports 24h avant.,T° ambiante / acheminer dans les 2h.,48-72h,Examen direct + Culture + Antibiogramme,Flore normale,Vaginite / IST / bilan stérilité.,Préciser si grossesse (recherche SGB).,ecouvillon.jpg
BK,Recherche de BK (Tuberculose),Recherche de tuberculose,Microbiologie,Crachats (3 jours),Pot stérile,orange,3-5 mL minimum,Non,Crachat profond le matin au réveil. 3 jours consécutifs.,T° ambiante / acheminer dans les 2h.,ED 24h / culture 2-8 semaines,Ziehl-Neelsen + Culture + PCR,Négatif,Diagnostic de tuberculose.,3 prélèvements sur 3 jours. PCR GeneXpert dispo.,pot-crachats.jpg
PALU,Goutte épaisse / Frottis (Paludisme),Recherche de paludisme (malaria),Microbiologie,Sang capillaire ou veineux,EDTA (violet),violet,3 mL,Non,Prélever pendant le pic fébrile si possible.,T° ambiante. Acheminer immédiatement. URGENT.,2-4h (URGENT),Goutte épaisse + Frottis (Giemsa) ± TDR,Négatif,Diagnostic de paludisme.,URGENCE DIAGNOSTIQUE. TDR en complément.,tube-violet.jpg
CP II,C-propeptide du Procollagène de Type II,C-propeptide du Procollagène de Type II,Chimie,Sang > Sérum,,,,Non,,,,"Procollagen II C-Propeptide ELISA de IBEX Pharmaceuticals, Montréal, Canada",,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
S-C2C,C-terminal neoepitope du Collagène de Type II,C-terminal neoepitope du Collagène de Type II,Chimie,Sang,,,,Non,,,,Collagen Type II Cleavage ELISA de IBEX (compétition),,,source_url: https://www.chu.ulg.ac.be/jcms/c_709393/c-terminal-neoepitope-du-collagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CICP,C-terminal propeptide de collagène de type I,C-terminal propeptide de collagène de type I,Chimie,Sang,,,,Non,,,,Dosage ELISA de type sandwich de chez Quidel Microvue,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24844477/c-terminal-propeptide-de-collagene-de-type-i | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
U-CTX II,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,Chimie,Urines,,,,Non,,,,u-CartiLaps® ELISA De IDS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709399/c-terminal-telopeptides-du-collagene-de-type-ii-contenant-l-epitope-ekgpdp | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
"C1,2C","C1,2C (Clivage de type I et II du collagène)","C1,2C (Clivage de type I et II du collagène)",Chimie,Sang,,,,Non,,,,Dosage ELISA de type compétition de chez Ibex,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24717150/c1-2c-clivage-de-type-i-et-ii-du-collagene | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CTXS_E_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Chimie,Sang,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Isys,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23529301/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CTXS_R,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),Chimie,Sang,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Cobas e402,,,source_url: https://www.chu.ulg.ac.be/jcms/c_16040648/ctxs-c-telopeptides-collagene-type-i-roche-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
S-CTX I,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,Chimie,Sang > Sérum,,,,Non,,,,Serum CrossLaps™ ELISA de IDS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709219/ctxs-c-terminal-telopeptides-du-collagene-de-type-i-ids-elisa | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
h-COMP,Cartilage Oligomeric Matrix Protein,Cartilage Oligomeric Matrix Protein,Chimie,Sang > Sérum,,,,Non,,,,"Wielisa®-kit hCOMP de Wieslab, Lund, Suède",,,source_url: https://www.chu.ulg.ac.be/jcms/c_709378/cartilage-oligomeric-matrix-protein | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CPTTFQ,Calprotectine Fécale Quantitative,Calprotectine Fécale Quantitative,Chimie,Selles,,,,Non,,,,Dosage immunologique direct de type sandwich et basé sur une technique de chimiluminescence (CLIA) sur Liaison XL,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351995/calprotectine-fecale-quantitative | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CER,Ceruloplasmine,Ceruloplasmine,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec antisérum Siemens sur Néphélomètre : ATELLICA NEPH 630 Siemens,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351987/ceruloplasmine | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHK,Chaînes Légères Kappa Totales,Chaînes Légères Kappa Totales,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351988/chaines-legeres-kappa-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHKU,Chaînes Légères Kappa Totales Urinaires,Chaînes Légères Kappa Totales Urinaires,Chimie,Urines > 24H / Urines,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351989/chaines-legeres-kappa-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHL,Chaînes Légères Lambda Totales,Chaînes Légères Lambda Totales,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351990/chaines-legeres-lambda-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHLU,Chaînes Légères Lambda Totales urinaires,Chaînes Légères Lambda Totales urinaires,Chimie,Urines > 24H / Urines,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351991/chaines-legeres-lambda-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
LF,Chaînes Légères Libres Lambda,Chaînes Légères Libres Lambda,Chimie,Sang,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_352024/chaines-legeres-libres-lambda | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
KFL,Chaînes légères libres Kappa dans le LCR,Chaînes légères libres Kappa dans le LCR,Chimie,Liquides biologiques > LCR,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_15815456/chaines-legeres-libres-kappa-dans-le-lcr | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
KF,Chaïnes Légères Libres Kappa,Chaïnes Légères Libres Kappa,Chimie,Sang,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_352023/chaines-legeres-libres-kappa | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CI_U,Citrate,Citrate,Chimie,Urines > 24H / Urines,,,,Non,,,,Méthode enzymatique (Réactifs Instruchemie) sur Cobas Pure C303,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351992/citrate | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CPT,C-Peptide,C-Peptide,Hormonologie,Sang,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351697/c-peptide | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C15X,CA 15-3 (Liquides de ponction),CA 15-3 (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823991/ca-15-3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C15,CA 15.3,CA 15.3,Hormonologie,Sang > Sérum,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351708/ca-15-3 | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CEAX,CEA (Liquides de ponction),CEA (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823960/cea-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CEA,CEA (Sang),CEA (Sang),Hormonologie,Sang,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351706/cea-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRPS,CRP Ultrasensible (Sang),CRP Ultrasensible (Sang),Hormonologie,Sang,,,,Non,,,,Turbidimétrique/immunoturbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_642189/crp-ultrasensible-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CAX,Calcium (Liquides de ponction),Calcium (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716510/calcium-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CA,Calcium (Sang),Calcium (Sang),Hormonologie,Sang,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498470/calcium-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CAU,Calcium (Urines),Calcium (Urines),Hormonologie,Urines > 24H / Urines,,,,Non,,,,Méthode Arsenazo III avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498478/calcium-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
TRF_CAP,Capacité de fixation de la Transferrine (Sang),Capacité de fixation de la Transferrine (Sang),Hormonologie,Sang,,,,Non,,,,Calcul,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498827/capacite-de-fixation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLL,Chlorures (LCR),Chlorures (LCR),Hormonologie,Liquides biologiques > LCR,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498674/chlorures-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLX,Chlorures (Liquide de ponction),Chlorures (Liquide de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498677/chlorures-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CL,Chlorures (Sang),Chlorures (Sang),Hormonologie,Sang,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498669/chlorures-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CLU,Chlorures (Urines),Chlorures (Urines),Hormonologie,Urines > 24H / Urines,,,,Non,,,,Electrode spécifique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498671/chlorures-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
